province,data_date,total_case,total_death,daily_case,daily_death,casesroll_avg,maxcaserate,maxcaseday,filter_week,seq_
Jawa Barat,2020-05-13,1556,98,7,0,33.142857142857146,6477.714285714285,2021-07-08,2020-03-21,54
Jawa Tengah,2020-05-13,1023,66,34,0,18.714285714285715,3466.714285714286,2021-07-08,2020-03-28,47
Jawa Timur,2020-05-13,1772,163,103,8,78.71428571428571,1820.7142857142858,2021-07-08,2020-03-24,51
Kalimantan Selatan,2020-05-13,291,9,14,0,9.428571428571429,260.42857142857144,2021-04-02,2020-04-16,28
Bali,2020-05-14,337,4,5,0,7.142857142857143,411,2021-07-08,2020-04-09,36
DKI Jakarta,2020-05-14,5688,452,134,3,119.57142857142857,10324,2021-07-08,2020-03-12,64
Jawa Barat,2020-05-14,1565,99,9,1,25.714285714285715,6477.714285714285,2021-07-08,2020-03-21,55
Jawa Tengah,2020-05-14,1066,66,43,0,23,3466.714285714286,2021-07-08,2020-03-28,48
Jawa Timur,2020-05-14,1863,167,91,4,85.14285714285714,1820.7142857142858,2021-07-08,2020-03-24,52
Kalimantan Selatan,2020-05-14,294,9,3,0,8,260.42857142857144,2021-04-02,2020-04-16,29
Bali,2020-05-15,343,4,6,0,6.142857142857143,411,2021-07-08,2020-04-09,37
DKI Jakarta,2020-05-15,5774,460,86,8,117.57142857142857,10324,2021-07-08,2020-03-12,65
Jawa Barat,2020-05-15,1596,100,31,1,26.857142857142858,6477.714285714285,2021-07-08,2020-03-21,56
Jawa Tengah,2020-05-15,1109,70,43,4,25.142857142857142,3466.714285714286,2021-07-08,2020-03-28,49
Jawa Timur,2020-05-15,1921,178,58,11,91,1820.7142857142858,2021-07-08,2020-03-24,53
Kalimantan Selatan,2020-05-15,363,9,69,0,16.714285714285715,260.42857142857144,2021-04-02,2020-04-16,30
Bali,2020-05-16,346,4,3,0,5.714285714285714,411,2021-07-08,2020-04-09,38
DKI Jakarta,2020-05-16,5881,460,107,0,118.42857142857143,10324,2021-07-08,2020-03-12,66
Jawa Barat,2020-05-16,1618,100,22,0,25.285714285714285,6477.714285714285,2021-07-08,2020-03-21,57
Jawa Tengah,2020-05-16,1140,70,31,0,25.857142857142858,3466.714285714286,2021-07-08,2020-03-28,50
Jawa Timur,2020-05-16,2105,183,184,5,98,1820.7142857142858,2021-07-08,2020-03-24,54
Kalimantan Selatan,2020-05-16,370,9,7,0,16.714285714285715,260.42857142857144,2021-04-02,2020-04-16,31
Bali,2020-05-17,348,4,2,0,5.285714285714286,411,2021-07-08,2020-04-09,39
DKI Jakarta,2020-05-17,6010,463,132,3,118.14285714285714,10324,2021-07-08,2020-03-12,67
Jawa Barat,2020-05-17,1652,110,31,10,29.714285714285715,6477.714285714285,2021-07-08,2020-03-21,58
Jawa Tengah,2020-05-17,1157,70,17,0,25.571428571428573,3466.714285714286,2021-07-08,2020-03-28,51
Jawa Timur,2020-05-17,2152,194,47,11,92.85714285714286,1820.7142857142858,2021-07-08,2020-03-24,55
Kalimantan Selatan,2020-05-17,372,36,2,27,15.571428571428571,260.42857142857144,2021-04-02,2020-04-16,32
Bali,2020-05-18,359,4,11,0,6.428571428571429,411,2021-07-08,2020-04-09,40
DKI Jakarta,2020-05-18,6059,463,49,0,112.85714285714286,10324,2021-07-08,2020-03-12,68
Jawa Barat,2020-05-18,1677,123,25,13,25.285714285714285,6477.714285714285,2021-07-08,2020-03-21,59
Jawa Tengah,2020-05-18,1165,70,8,0,26.428571428571427,3466.714285714286,2021-07-08,2020-03-28,52
Jawa Timur,2020-05-18,2296,209,144,15,108.57142857142857,1820.7142857142858,2021-07-08,2020-03-24,56
Kalimantan Selatan,2020-05-18,438,44,66,8,25,260.42857142857144,2021-04-02,2020-04-16,33
Bali,2020-05-19,363,4,4,0,5,411,2021-07-08,2020-04-09,41
DKI Jakarta,2020-05-19,6155,470,98,7,112.71428571428571,10324,2021-07-08,2020-03-12,69
Jawa Barat,2020-05-19,1700,124,21,1,20.857142857142858,6477.714285714285,2021-07-08,2020-03-21,60
Jawa Tengah,2020-05-19,1175,70,10,0,26.571428571428573,3466.714285714286,2021-07-08,2020-03-28,53
Jawa Timur,2020-05-19,2377,222,81,13,101.14285714285714,1820.7142857142858,2021-07-08,2020-03-24,57
Kalimantan Selatan,2020-05-19,484,47,46,3,29.571428571428573,260.42857142857144,2021-04-02,2020-04-16,34
Bali,2020-05-20,371,4,8,0,5.571428571428571,411,2021-07-08,2020-04-09,42
DKI Jakarta,2020-05-20,6236,472,81,2,98.14285714285714,10324,2021-07-08,2020-03-12,70
Jawa Barat,2020-05-20,1876,124,176,0,45,6477.714285714285,2021-07-08,2020-03-21,61
Jawa Tengah,2020-05-20,1192,70,17,0,24.142857142857142,3466.714285714286,2021-07-08,2020-03-28,54
Jawa Timur,2020-05-20,2496,228,119,6,103.42857142857143,1820.7142857142858,2021-07-08,2020-03-24,58
Kalimantan Selatan,2020-05-20,547,52,63,5,36.57142857142857,260.42857142857144,2021-04-02,2020-04-16,35
Bali,2020-05-21,374,4,3,0,5.285714285714286,411,2021-07-08,2020-04-09,43
DKI Jakarta,2020-05-21,6301,481,65,9,88.28571428571429,10324,2021-07-08,2020-03-12,71
Jawa Barat,2020-05-21,1962,124,86,0,56,6477.714285714285,2021-07-08,2020-03-21,62
Jawa Tengah,2020-05-21,1217,70,25,0,21.571428571428573,3466.714285714286,2021-07-08,2020-03-28,55
Jawa Timur,2020-05-21,2998,241,502,13,162.14285714285714,1820.7142857142858,2021-07-08,2020-03-24,59
Kalimantan Selatan,2020-05-21,557,54,10,2,37.57142857142857,260.42857142857144,2021-04-02,2020-04-16,36
Bali,2020-05-22,380,4,6,0,5.285714285714286,411,2021-07-08,2020-04-09,44
DKI Jakarta,2020-05-22,6400,500,99,18,90.14285714285714,10324,2021-07-08,2020-03-12,72
Jawa Barat,2020-05-22,2002,125,40,1,57.285714285714285,6477.714285714285,2021-07-08,2020-03-21,63
Jawa Tengah,2020-05-22,1234,70,17,0,17.857142857142858,3466.714285714286,2021-07-08,2020-03-28,56
Jawa Timur,2020-05-22,3129,256,131,15,172.57142857142858,1820.7142857142858,2021-07-08,2020-03-24,60
Kalimantan Selatan,2020-05-22,572,57,15,3,29.857142857142858,260.42857142857144,2021-04-02,2020-04-16,37
Bali,2020-05-23,388,4,8,0,6,411,2021-07-08,2020-04-09,45
DKI Jakarta,2020-05-23,6515,501,115,1,91.28571428571429,10324,2021-07-08,2020-03-12,73
Jawa Barat,2020-05-23,2045,127,43,2,60.285714285714285,6477.714285714285,2021-07-08,2020-03-21,64
Jawa Tengah,2020-05-23,1288,70,54,0,21.142857142857142,3466.714285714286,2021-07-08,2020-03-28,57
Jawa Timur,2020-05-23,3595,271,466,15,212.85714285714286,1820.7142857142858,2021-07-08,2020-03-24,61
Kalimantan Selatan,2020-05-23,590,58,18,1,31.428571428571427,260.42857142857144,2021-04-02,2020-04-16,38
Bali,2020-05-24,394,4,6,0,6.571428571428571,411,2021-07-08,2020-04-09,46
DKI Jakarta,2020-05-24,6634,501,119,0,89.42857142857143,10324,2021-07-08,2020-03-12,74
Jawa Barat,2020-05-24,2091,128,46,1,62.42857142857143,6477.714285714285,2021-07-08,2020-03-21,65
Jawa Tengah,2020-05-24,1309,70,21,0,21.714285714285715,3466.714285714286,2021-07-08,2020-03-28,58
Jawa Timur,2020-05-24,3663,283,68,12,215.85714285714286,1820.7142857142858,2021-07-08,2020-03-24,62
Kalimantan Selatan,2020-05-24,599,59,9,1,32.42857142857143,260.42857142857144,2021-04-02,2020-04-16,39
Bali,2020-05-25,396,4,2,0,5.285714285714286,411,2021-07-08,2020-04-09,47
DKI Jakarta,2020-05-25,6709,501,75,0,93.14285714285714,10324,2021-07-08,2020-03-12,75
Jawa Barat,2020-05-25,2113,128,22,0,62,6477.714285714285,2021-07-08,2020-03-21,66
Jawa Tengah,2020-05-25,1311,70,2,0,20.857142857142858,3466.714285714286,2021-07-08,2020-03-28,59
Jawa Timur,2020-05-25,3886,292,223,9,227.14285714285714,1820.7142857142858,2021-07-08,2020-03-24,63
Kalimantan Selatan,2020-05-25,602,61,3,2,23.428571428571427,260.42857142857144,2021-04-02,2020-04-16,40
Bali,2020-05-26,407,4,11,0,6.285714285714286,411,2021-07-08,2020-04-09,48
DKI Jakarta,2020-05-26,6798,501,89,0,91.85714285714286,10324,2021-07-08,2020-03-12,76
Jawa Barat,2020-05-26,2130,137,17,9,61.42857142857143,6477.714285714285,2021-07-08,2020-03-21,67
Jawa Tengah,2020-05-26,1315,70,4,0,20,3466.714285714286,2021-07-08,2020-03-28,60
Jawa Timur,2020-05-26,3943,301,57,9,223.71428571428572,1820.7142857142858,2021-07-08,2020-03-24,64
Kalimantan Selatan,2020-05-26,630,63,28,2,20.857142857142858,260.42857142857144,2021-04-02,2020-04-16,41
Bali,2020-05-27,415,4,8,0,6.285714285714286,411,2021-07-08,2020-04-09,49
DKI Jakarta,2020-05-27,6895,509,97,8,94.14285714285714,10324,2021-07-08,2020-03-12,77
Jawa Barat,2020-05-27,2157,142,27,5,40.142857142857146,6477.714285714285,2021-07-08,2020-03-21,68
Jawa Tengah,2020-05-27,1326,70,11,0,19.142857142857142,3466.714285714286,2021-07-08,2020-03-28,61
Jawa Timur,2020-05-27,4142,320,199,19,235.14285714285714,1820.7142857142858,2021-07-08,2020-03-24,65
Kalimantan Selatan,2020-05-27,703,71,73,8,22.285714285714285,260.42857142857144,2021-04-02,2020-04-16,42
Bali,2020-05-28,420,4,5,0,6.571428571428571,411,2021-07-08,2020-04-09,50
DKI Jakarta,2020-05-28,7001,509,105,0,99.85714285714286,10324,2021-07-08,2020-03-12,78
Jawa Barat,2020-05-28,2181,142,25,0,31.428571428571427,6477.714285714285,2021-07-08,2020-03-21,69
Jawa Tengah,2020-05-28,1336,70,10,0,17,3466.714285714286,2021-07-08,2020-03-28,62
Jawa Timur,2020-05-28,4313,334,171,14,187.85714285714286,1820.7142857142858,2021-07-08,2020-03-24,66
Kalimantan Selatan,2020-05-28,819,71,116,0,37.42857142857143,260.42857142857144,2021-04-02,2020-04-16,43
Bali,2020-05-29,443,4,23,0,9,411,2021-07-08,2020-04-09,51
DKI Jakarta,2020-05-29,7128,509,125,0,103.57142857142857,10324,2021-07-08,2020-03-12,79
Jawa Barat,2020-05-29,2211,142,32,0,30.285714285714285,6477.714285714285,2021-07-08,2020-03-21,70
Jawa Tengah,2020-05-29,1350,70,14,0,16.571428571428573,3466.714285714286,2021-07-08,2020-03-28,63
Jawa Timur,2020-05-29,4414,345,101,11,183.57142857142858,1820.7142857142858,2021-07-08,2020-03-24,67
Kalimantan Selatan,2020-05-29,893,72,74,1,45.857142857142854,260.42857142857144,2021-04-02,2020-04-16,44
Bali,2020-05-30,455,4,12,0,9.571428571428571,411,2021-07-08,2020-04-09,52
DKI Jakarta,2020-05-30,7229,516,101,7,101.57142857142857,10324,2021-07-08,2020-03-12,80
Jawa Barat,2020-05-30,2231,144,20,2,27,6477.714285714285,2021-07-08,2020-03-21,71
Jawa Tengah,2020-05-30,1366,70,16,0,11.142857142857142,3466.714285714286,2021-07-08,2020-03-28,64
Jawa Timur,2020-05-30,4613,372,199,27,145.42857142857142,1820.7142857142858,2021-07-08,2020-03-24,68
Kalimantan Selatan,2020-05-30,893,77,0,5,43.285714285714285,260.42857142857144,2021-04-02,2020-04-16,45
Bali,2020-05-31,465,4,10,0,10.142857142857142,411,2021-07-08,2020-04-09,53
DKI Jakarta,2020-05-31,7348,517,118,1,101.42857142857143,10324,2021-07-08,2020-03-12,81
Jawa Barat,2020-05-31,2260,144,30,0,24.714285714285715,6477.714285714285,2021-07-08,2020-03-21,72
Jawa Tengah,2020-05-31,1403,70,37,0,13.428571428571429,3466.714285714286,2021-07-08,2020-03-28,65
Jawa Timur,2020-05-31,4857,396,244,24,170.57142857142858,1820.7142857142858,2021-07-08,2020-03-24,69
Kalimantan Selatan,2020-05-31,919,80,26,3,45.714285714285715,260.42857142857144,2021-04-02,2020-04-16,46
Bali,2020-06-01,482,5,17,1,12.285714285714286,411,2021-07-08,2020-04-09,54
DKI Jakarta,2020-06-01,7485,518,137,1,110.28571428571429,10324,2021-07-08,2020-03-12,82
Jawa Barat,2020-06-01,2294,144,34,0,26.428571428571427,6477.714285714285,2021-07-08,2020-03-21,73
Jawa Tengah,2020-06-01,1417,70,14,0,15.142857142857142,3466.714285714286,2021-07-08,2020-03-28,66
Jawa Timur,2020-06-01,4922,412,65,16,148,1820.7142857142858,2021-07-08,2020-03-24,70
Kalimantan Selatan,2020-06-01,948,86,29,6,49.42857142857143,260.42857142857144,2021-04-02,2020-04-16,47
Bali,2020-06-02,487,5,5,0,11.428571428571429,411,2021-07-08,2020-04-09,55
DKI Jakarta,2020-06-02,7541,518,60,0,106.14285714285714,10324,2021-07-08,2020-03-12,83
Jawa Barat,2020-06-02,2314,151,18,7,26.571428571428573,6477.714285714285,2021-07-08,2020-03-21,74
Jawa Tengah,2020-06-02,1432,70,15,0,16.714285714285715,3466.714285714286,2021-07-08,2020-03-28,67
Jawa Timur,2020-06-02,5135,418,213,6,170.28571428571428,1820.7142857142858,2021-07-08,2020-03-24,71
Kalimantan Selatan,2020-06-02,969,87,21,1,48.42857142857143,260.42857142857144,2021-04-02,2020-04-16,48
Bali,2020-06-03,490,5,3,0,10.714285714285714,411,2021-07-08,2020-04-09,56
DKI Jakarta,2020-06-03,7623,523,82,5,104,10324,2021-07-08,2020-03-12,84
Jawa Barat,2020-06-03,2319,154,5,3,23.428571428571427,6477.714285714285,2021-07-08,2020-03-21,75
Jawa Tengah,2020-06-03,1455,71,23,1,18.428571428571427,3466.714285714286,2021-07-08,2020-03-28,68
Jawa Timur,2020-06-03,5318,429,183,11,168,1820.7142857142858,2021-07-08,2020-03-24,72
Kalimantan Selatan,2020-06-03,1033,90,64,3,47.142857142857146,260.42857142857144,2021-04-02,2020-04-16,49
Bali,2020-06-04,510,5,20,0,12.857142857142858,411,2021-07-08,2020-04-09,57
DKI Jakarta,2020-06-04,7690,523,94,0,102.42857142857143,10324,2021-07-08,2020-03-12,85
Jawa Barat,2020-06-04,2354,155,9,1,21.142857142857142,6477.714285714285,2021-07-08,2020-03-21,76
Jawa Tengah,2020-06-04,1479,71,24,0,20.428571428571427,3466.714285714286,2021-07-08,2020-03-28,69
Jawa Timur,2020-06-04,5408,437,90,8,156.42857142857142,1820.7142857142858,2021-07-08,2020-03-24,73
Kalimantan Selatan,2020-06-04,1142,93,109,3,46.142857142857146,260.42857142857144,2021-04-02,2020-04-16,50
Bali,2020-06-05,524,5,14,0,11.571428571428571,411,2021-07-08,2020-04-09,58
DKI Jakarta,2020-06-05,7766,524,76,1,95.42857142857143,10324,2021-07-08,2020-03-12,86
Jawa Barat,2020-06-05,2366,158,12,3,18.285714285714285,6477.714285714285,2021-07-08,2020-03-21,77
Jawa Tengah,2020-06-05,1537,76,58,5,26.714285714285715,3466.714285714286,2021-07-08,2020-03-28,70
Jawa Timur,2020-06-05,5549,446,141,9,162.14285714285714,1820.7142857142858,2021-07-08,2020-03-24,74
Kalimantan Selatan,2020-06-05,1213,93,71,0,45.714285714285715,260.42857142857144,2021-04-02,2020-04-16,51
Bali,2020-06-06,557,5,33,0,14.571428571428571,411,2021-07-08,2020-04-09,59
DKI Jakarta,2020-06-06,7870,524,104,0,95.85714285714286,10324,2021-07-08,2020-03-12,87
Jawa Barat,2020-06-06,2376,158,10,0,16.857142857142858,6477.714285714285,2021-07-08,2020-03-21,78
Jawa Tengah,2020-06-06,1564,76,27,0,28.285714285714285,3466.714285714286,2021-07-08,2020-03-28,71
Jawa Timur,2020-06-06,5835,463,286,17,174.57142857142858,1820.7142857142858,2021-07-08,2020-03-24,75
Kalimantan Selatan,2020-06-06,1247,96,34,3,50.57142857142857,260.42857142857144,2021-04-02,2020-04-16,52
Bali,2020-06-07,582,5,25,0,16.714285714285715,411,2021-07-08,2020-04-09,60
DKI Jakarta,2020-06-07,8033,529,163,5,102.28571428571429,10324,2021-07-08,2020-03-12,88
Jawa Barat,2020-06-07,2404,158,28,0,16.571428571428573,6477.714285714285,2021-07-08,2020-03-21,79
Jawa Tengah,2020-06-07,1615,98,51,22,30.285714285714285,3466.714285714286,2021-07-08,2020-03-28,72
Jawa Timur,2020-06-07,5948,483,113,20,155.85714285714286,1820.7142857142858,2021-07-08,2020-03-24,76
Kalimantan Selatan,2020-06-07,1285,97,38,1,52.285714285714285,260.42857142857144,2021-04-02,2020-04-16,53
Bali,2020-06-08,594,5,12,0,16,411,2021-07-08,2020-04-09,61
DKI Jakarta,2020-06-08,8121,529,89,0,95.42857142857143,10324,2021-07-08,2020-03-12,89
Jawa Barat,2020-06-08,2424,161,20,3,14.571428571428571,6477.714285714285,2021-07-08,2020-03-21,80
Jawa Tengah,2020-06-08,1642,98,27,0,32.142857142857146,3466.714285714286,2021-07-08,2020-03-28,73
Jawa Timur,2020-06-08,6313,502,365,19,198.71428571428572,1820.7142857142858,2021-07-08,2020-03-24,77
Kalimantan Selatan,2020-06-08,1347,100,62,3,57,260.42857142857144,2021-04-02,2020-04-16,54
Bali,2020-06-09,608,5,14,0,17.285714285714285,411,2021-07-08,2020-04-09,62
DKI Jakarta,2020-06-09,8355,533,232,4,120,10324,2021-07-08,2020-03-12,90
Jawa Barat,2020-06-09,2448,161,25,0,15.571428571428571,6477.714285714285,2021-07-08,2020-03-21,81
Jawa Tengah,2020-06-09,1674,103,32,5,34.57142857142857,3466.714285714286,2021-07-08,2020-03-28,74
Jawa Timur,2020-06-09,6533,514,220,12,199.71428571428572,1820.7142857142858,2021-07-08,2020-03-24,78
Kalimantan Selatan,2020-06-09,1438,104,91,4,67,260.42857142857144,2021-04-02,2020-04-16,55
Bali,2020-06-10,640,5,32,0,21.428571428571427,411,2021-07-08,2020-04-09,63
DKI Jakarta,2020-06-10,8503,535,157,2,130.71428571428572,10324,2021-07-08,2020-03-12,91
Jawa Barat,2020-06-10,2506,161,50,0,22,6477.714285714285,2021-07-08,2020-03-21,82
Jawa Tengah,2020-06-10,1813,103,139,0,51.142857142857146,3466.714285714286,2021-07-08,2020-03-28,75
Jawa Timur,2020-06-10,6806,530,273,16,212.57142857142858,1820.7142857142858,2021-07-08,2020-03-24,79
Kalimantan Selatan,2020-06-10,1565,108,127,4,76,260.42857142857144,2021-04-02,2020-04-16,56
Bali,2020-06-11,659,5,19,0,21.285714285714285,411,2021-07-08,2020-04-09,64
DKI Jakarta,2020-06-11,8650,537,128,2,135.57142857142858,10324,2021-07-08,2020-03-12,92
Jawa Barat,2020-06-11,2551,161,44,0,27,6477.714285714285,2021-07-08,2020-03-21,83
Jawa Tengah,2020-06-11,1832,103,19,0,50.42857142857143,3466.714285714286,2021-07-08,2020-03-28,76
Jawa Timur,2020-06-11,7103,553,297,23,242.14285714285714,1820.7142857142858,2021-07-08,2020-03-24,80
Kalimantan Selatan,2020-06-11,1634,112,69,4,70.28571428571429,260.42857142857144,2021-04-02,2020-04-16,57
Bali,2020-06-12,695,5,36,0,24.428571428571427,411,2021-07-08,2020-04-09,65
DKI Jakarta,2020-06-12,8740,540,93,3,138,10324,2021-07-08,2020-03-12,93
Jawa Barat,2020-06-12,2572,161,19,0,28,6477.714285714285,2021-07-08,2020-03-21,84
Jawa Tengah,2020-06-12,1876,103,44,0,48.42857142857143,3466.714285714286,2021-07-08,2020-03-28,77
Jawa Timur,2020-06-12,7421,575,318,22,267.42857142857144,1820.7142857142858,2021-07-08,2020-03-24,81
Kalimantan Selatan,2020-06-12,1694,116,60,4,68.71428571428571,260.42857142857144,2021-04-02,2020-04-16,58
Bali,2020-06-13,723,6,28,1,23.714285714285715,411,2021-07-08,2020-04-09,66
DKI Jakarta,2020-06-13,8861,548,121,8,140.42857142857142,10324,2021-07-08,2020-03-12,94
Jawa Barat,2020-06-13,2587,161,15,0,28.714285714285715,6477.714285714285,2021-07-08,2020-03-21,85
Jawa Tengah,2020-06-13,1946,103,70,0,54.57142857142857,3466.714285714286,2021-07-08,2020-03-28,78
Jawa Timur,2020-06-13,7597,589,176,14,251.71428571428572,1820.7142857142858,2021-07-08,2020-03-24,82
Kalimantan Selatan,2020-06-13,1817,120,123,4,81.42857142857143,260.42857142857144,2021-04-02,2020-04-16,59
Bali,2020-06-14,741,6,18,0,22.714285714285715,411,2021-07-08,2020-04-09,67
DKI Jakarta,2020-06-14,8978,555,117,7,133.85714285714286,10324,2021-07-08,2020-03-12,95
Jawa Barat,2020-06-14,2604,161,17,0,27.142857142857142,6477.714285714285,2021-07-08,2020-03-21,86
Jawa Tengah,2020-06-14,2059,104,113,1,63.42857142857143,3466.714285714286,2021-07-08,2020-03-28,79
Jawa Timur,2020-06-14,7793,600,196,11,263.57142857142856,1820.7142857142858,2021-07-08,2020-03-24,83
Kalimantan Selatan,2020-06-14,1887,125,70,5,86,260.42857142857144,2021-04-02,2020-04-16,60
Bali,2020-06-15,760,6,19,0,23.714285714285715,411,2021-07-08,2020-04-09,68
DKI Jakarta,2020-06-15,9120,557,142,2,141.42857142857142,10324,2021-07-08,2020-03-12,96
Jawa Barat,2020-06-15,2623,162,19,1,27,6477.714285714285,2021-07-08,2020-03-21,87
Jawa Tengah,2020-06-15,2175,121,116,17,76.14285714285714,3466.714285714286,2021-07-08,2020-03-28,80
Jawa Timur,2020-06-15,8063,616,270,16,250,1820.7142857142858,2021-07-08,2020-03-24,84
Kalimantan Selatan,2020-06-15,1953,131,66,6,86.57142857142857,260.42857142857144,2021-04-02,2020-04-16,61
Bali,2020-06-16,782,6,22,0,24.857142857142858,411,2021-07-08,2020-04-09,69
DKI Jakarta,2020-06-16,9222,557,101,0,122.71428571428571,10324,2021-07-08,2020-03-12,97
Jawa Barat,2020-06-16,2662,162,40,0,29.142857142857142,6477.714285714285,2021-07-08,2020-03-21,88
Jawa Tengah,2020-06-16,2231,121,56,0,79.57142857142857,3466.714285714286,2021-07-08,2020-03-28,81
Jawa Timur,2020-06-16,8308,637,245,21,253.57142857142858,1820.7142857142858,2021-07-08,2020-03-24,85
Kalimantan Selatan,2020-06-16,2122,135,169,4,97.71428571428571,260.42857142857144,2021-04-02,2020-04-16,62
Bali,2020-06-17,829,6,47,0,27,411,2021-07-08,2020-04-09,70
DKI Jakarta,2020-06-17,9349,563,127,6,118.42857142857143,10324,2021-07-08,2020-03-12,98
Jawa Barat,2020-06-17,2703,169,41,7,27.857142857142858,6477.714285714285,2021-07-08,2020-03-21,89
Jawa Tengah,2020-06-17,2346,121,115,0,76.14285714285714,3466.714285714286,2021-07-08,2020-03-28,82
Jawa Timur,2020-06-17,8533,651,225,14,246.71428571428572,1820.7142857142858,2021-07-08,2020-03-24,86
Kalimantan Selatan,2020-06-17,2208,141,86,6,91.85714285714286,260.42857142857144,2021-04-02,2020-04-16,63
Bali,2020-06-18,895,6,66,0,33.714285714285715,411,2021-07-08,2020-04-09,71
DKI Jakarta,2020-06-18,9516,578,173,15,124.85714285714286,10324,2021-07-08,2020-03-12,99
Jawa Barat,2020-06-18,2758,171,52,2,29,6477.714285714285,2021-07-08,2020-03-21,90
Jawa Tengah,2020-06-18,2391,130,45,9,79.85714285714286,3466.714285714286,2021-07-08,2020-03-28,83
Jawa Timur,2020-06-18,8917,664,384,13,259.14285714285717,1820.7142857142858,2021-07-08,2020-03-24,87
Kalimantan Selatan,2020-06-18,2326,150,118,9,98.85714285714286,260.42857142857144,2021-04-02,2020-04-16,64
Bali,2020-06-19,976,6,81,0,40.142857142857146,411,2021-07-08,2020-04-09,72
DKI Jakarta,2020-06-19,9655,578,141,0,131.71428571428572,10324,2021-07-08,2020-03-12,100
