province,data_date,total_case,total_death,daily_case,daily_death,casesroll_avg,maxcaserate,maxcaseday,filter_week,seq_
Jawa Tengah,2021-04-08,172666,7454,796,39,455.14285714285717,3466.714285714286,2021-07-08,2020-03-28,377
Jawa Timur,2021-04-08,141720,10150,297,27,270.42857142857144,1820.7142857142858,2021-07-08,2020-03-24,381
Kalimantan Selatan,2021-04-08,29618,870,301,6,210.57142857142858,260.42857142857144,2021-04-02,2020-04-16,358
Bali,2021-04-09,41466,1197,207,11,205.85714285714286,411,2021-07-08,2020-04-09,366
DKI Jakarta,2021-04-09,390590,6410,1013,10,851.1428571428571,10324,2021-07-08,2020-03-12,394
Jambi,2021-04-09,6612,95,50,0,40.42857142857143,132,2021-06-19,2020-08-04,249
Jawa Barat,2021-04-09,256834,3355,931,22,712.4285714285714,6477.714285714285,2021-07-08,2020-03-21,385
Jawa Tengah,2021-04-09,173235,7454,569,26,502.2857142857143,3466.714285714286,2021-07-08,2020-03-28,378
Jawa Timur,2021-04-09,142028,10150,308,14,275.2857142857143,1820.7142857142858,2021-07-08,2020-03-24,382
Kalimantan Selatan,2021-04-09,29899,870,281,6,210.28571428571428,260.42857142857144,2021-04-02,2020-04-16,359
Bali,2021-04-10,41619,1204,153,6,207.57142857142858,411,2021-07-08,2020-04-09,367
DKI Jakarta,2021-04-10,391567,6424,977,7,833.8571428571429,10324,2021-07-08,2020-03-12,395
Jambi,2021-04-10,6620,96,8,0,37,132,2021-06-19,2020-08-04,250
Jawa Barat,2021-04-10,257831,3367,997,7,803.4285714285714,6477.714285714285,2021-07-08,2020-03-21,386
Jawa Tengah,2021-04-10,173515,7477,280,0,503.14285714285717,3466.714285714286,2021-07-08,2020-03-28,379
Jawa Timur,2021-04-10,142305,10200,277,28,282,1820.7142857142858,2021-07-08,2020-03-24,383
Kalimantan Selatan,2021-04-10,30156,874,257,4,225,260.42857142857144,2021-04-02,2020-04-16,360
Bali,2021-04-11,41734,1204,115,1,187.57142857142858,411,2021-07-08,2020-04-09,368
DKI Jakarta,2021-04-11,392598,6424,1031,7,876,10324,2021-07-08,2020-03-12,396
Jambi,2021-04-11,6640,96,20,1,36.57142857142857,132,2021-06-19,2020-08-04,251
Jawa Barat,2021-04-11,258578,3367,747,5,861.8571428571429,6477.714285714285,2021-07-08,2020-03-21,387
